Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Data References,"Mercury, Unfiltered (ng/L)","Mercury, Unfiltered Data Source","Mercury, Filtered (ng/L)","Mercury, Filtered Data Source","Methylmercury, Unfiltered (ng/L)","Methylmercury, Unfiltered Data Source","Methylmercury, Filtered (ng/L)","Methylmercury, Filtered Data Source"
BR-52,POORE MINE TUNNEL EFFLUENT NR GRASS VALLEY CA,3.91347E+14,2/21/2002,17:00,Environmental,NP,9.7,C2,E0.6,C2,0.23,W1,<0.04,W1
BR-53,POORE MINE SEEP ABV GRND SLUICE NR GRASS VALLEY CA,3.91352E+14,04-01-99,16:00,Environmental,https://doi.org/10.3133/sir20045251,ND,ND,<.3,C1,ND,ND,ND,ND
BR-55,POORE MINE GROUND SLUICE NR GRASS VALLEY CA,3.91351E+14,04-01-99,15:40,Environmental,https://doi.org/10.3133/sir20045251,0.9,C2,<.3,C1,<.04,W1,ND,ND
BR-56,POORE MINE C AB TUNNEL NR GRASS VALLEY CA,3.91346E+14,3/31/1999,17:40,Environmental,https://doi.org/10.3133/sir20045251,17.1,C1,<.3,C1,<.04,W1,ND,ND
BR-57,HUNTS HILL DRAIN .03 MI AB GREENHORN C,3.91417E+14,2/21/2002,14:30,Environmental,NP,8,CQ,ND,ND,ND,ND,<0.04,W1
BR-58,GAS CANYON CR .05 MI AB GREENHORN C,3.91437E+14,2/21/2002,16:00,Environmental,NP,7.4,CQ,ND,ND,ND,ND,<0.04,W1
BR-61,SF GREENHORN C .7 MI AB GREENHORN C NR NEVADA CITY,3.91401E+14,8/22/2000,15:10,Environmental,https://doi.org/10.3133/sir20045251,209,C2,183,C2,0.13,W1,0.27,W1
BR-62,SF GREENHORN C BLW BOSTON MINE NR NEVADA CITY CA,3.91351E+14,12/21/2001,12:40,Environmental,https://doi.org/10.3133/sir20045251,12.1,C2,6.4,C1,<.04,W1,<0.04,W1
BR-62,SF GREENHORN C BLW BOSTON MINE NR NEVADA CITY CA,3.91351E+14,2/21/2002,16:00,Environmental,NP,11.1,CQ,ND,ND,ND,ND,<0.04,W1
BR-63,TOM JERRY MINE DRAINAGE POND NR NEVADA CITY CA,3.91628E+14,8/23/2000,10:45,Environmental,https://doi.org/10.3133/sir20045251,32.4,C2,16.2,C2,<.04,W1,ND,ND
