Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Water Temperature (degrees Celsius),pH,Specific conductance (microsiemens/cm,Dissolved oxygen (mg/L),"Discharge, instantaneous, cubic feet per second",Barometric pressure (millimeters of mercury),"Dissolved oxygen, water, unfiltered, percent of saturation",Suspended sediment concentration (mg/L),"Suspended sediment, percentage finer than 0.063 mm"
LY-11,WETLANDS POND NE OF S POND IN YUBA GOLDFIELDS,3.913E+14,7/17/2003,15:20,Environmental,29,7.7,77,9.1,ND,ND,ND,17,72
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/22/2003,11:40,Environmental,16.5,7.5,80,10.4,ND,759,107,2,85
LY-13,LARGE POND W OF WETLANDS POND IN YUBA GOLDFIELDS,3.91258E+14,7/22/2003,13:10,Environmental,20.5,7.2,97,9.9,ND,759,110,1,62
LY-14,BIG SEEP SECTION 27 IN YUBA GOLDFIELDS,3.91305E+14,7/17/2003,14:20,Environmental,14,7.5,74,9.5,ND,ND,ND,ND,ND
LY-15,T POND OUTLET IN YUBA GOLDFIELDS NR HAMMONTON CA,3.9125E+14,7/17/2003,15:50,Environmental,15.5,7.5,75,9.6,ND,ND,ND,2,95
LY-16,T POND IN YUBA GOLDFIELDS NR HAMMONTON CA,3.91259E+14,7/17/2003,13:00,Environmental,16,7.5,75,9.1,ND,ND,ND,ND,ND
MY-01,M YUBA R BL MILTON DAM CA,11408550,10/28/2002,12:00,Environmental,ND,ND,ND,ND,ND,ND,ND,2,78
MY-01,M YUBA R BL MILTON DAM CA,11408550,6/10/2003,10:30,Environmental,ND,ND,ND,ND,ND,ND,ND,2,79
MY-02,M YUBA R NR ALLEGHANY CA,11408700,11/1/2002,12:20,Environmental,6.5,8,126,6.8,ND,682,62,2,47
MY-03,M YUBA R NR CAMPTONVILLE CA,11408850,11/4/2002,12:50,Environmental,6,8.1,148,13.2,ND,702,115,3,75
MY-04,M YUBA R NR NORTH SAN JUAN CA,11410000,6/20/2001,10:30,Environmental,18,8,93,ND,ND,ND,ND,ND,ND
MY-04,M YUBA R NR NORTH SAN JUAN CA,11410000,10/21/2002,13:00,Environmental,12,7.8,142,7.2,ND,725,70,ND,ND
MY-05,CLEAR C NR NORTH SAN JUAN CA,3.92256E+14,4/28/2004,10:30,Environmental,12.4,8,80,10.2,0.03,720,101,ND,ND
MY-06,SWEETLAND C AT SWEETLAND CA,3.92036E+14,4/27/2004,10:20,Environmental,13.2,6.4,83,10.7,0.01,720,108,ND,ND
MY-07,M YUBA R AB COLGATE PH NR FRENCH CORRAL CA,3.9195E+14,10/25/2002,10:50,Environmental,12,7.9,148,5.9,ND,742,56,ND,ND
SY-01,OMEGA EAST SHAFT (TUNNEL VENT SHAFT) NR WASHINGTON,3.92022E+14,4/30/1999,13:20,Environmental,ND,5.7,40,ND,ND,ND,ND,ND,ND
SY-03,OMEGA SOUTH TUNNEL NR WASHINGTON CA,3.9202E+14,4/30/1999,12:30,Environmental,ND,5.3,30,ND,ND,ND,ND,ND,ND
SY-04,OMEGA DR GULCH A SCOTCHMAN C NR WASHINGTON CA,3.92045E+14,6/8/1999,13:30,Environmental,ND,6.2,66,ND,2.2,ND,ND,ND,ND
SY-05,SCOTCHMAN C AB OMEGA DR GULCH NR WASHINGTON CA,3.92042E+14,6/8/1999,14:30,Environmental,ND,6.4,44,ND,2,ND,ND,ND,ND
SY-06,ALPHA MINE RED TUNNEL NR WASHINGTON,3.92023E+14,12/16/1999,11:20,Environmental,10,5.5,20,ND,ND,ND,ND,ND,ND
SY-07,ALPHA MINE MAIN DRAINAGE N ALPHA DIG NR WASHINGTON,3.92108E+14,6/20/2000,13:30,Environmental,14,ND,ND,ND,ND,ND,ND,ND,ND
SY-08,SCOTCHMAN C A THE FALLS NR WASHINGTON CA,3.92116E+14,7/29/2002,15:40,Environmental,19.5,6.9,57,6.3,1.1,ND,ND,ND,ND
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,6/20/2000,14:00,Environmental,ND,ND,ND,ND,ND,ND,ND,3,69
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,7/29/2002,14:30,Environmental,19,7,57,7.3,ND,ND,ND,1,83
SY-11,ALPHA MINE PIT NR WASHINGTON CA,3.92015E+14,12/16/1999,10:30,Environmental,8,5.1,64,ND,ND,ND,ND,ND,ND
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,3.92007E+14,8/23/2000,14:50,Environmental,23,5.5,ND,ND,ND,ND,ND,2,ND
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,3.92007E+14,7/29/2002,11:10,Environmental,26,7.4,6,6.7,ND,763,83,8,48
SY-15,ANCHO ERIE DRAINAGE A POORMAN C NR WASHINGTON CA,3.92512E+14,7/31/2002,11:40,Environmental,15,7.2,50,ND,ND,672,ND,ND,ND
SY-16,POORMAN C BL ANCHO ERIE MINE DRAIN NR WASHINGTON,3.92513E+14,7/31/2002,12:00,Environmental,10,7.5,122,11,ND,669,111,4,78
SY-17,GRIZZLY HILL TUNNEL OUTLET NR NORTH BLOOMFIELD CA,3.92014E+14,3/16/2003,11:30,Environmental,ND,ND,ND,ND,ND,ND,ND,2,85
SY-19,LE DU MINE TUNNEL DISCHARGE,3.92151E+14,2/5/2002,12:00,Environmental,3.4,4.3,51,12.6,ND,ND,ND,ND,ND
SY-20,CRYSTAL HILL MINE POND NR NORTH BLOOMFIELD CA,3.92159E+14,2/5/2002,15:00,Environmental,6.4,3.1,18,10.5,ND,ND,ND,ND,ND
SY-21,MALAKOFF DIGGINGS FLD GREEN SHAFT DISCH NR BLMFLD,3.92152E+14,4/28/1999,16:30,Environmental,ND,6.3,393,ND,ND,668,ND,52,ND
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,3.92155E+14,4/28/1999,16:00,Environmental,ND,5.8,600,ND,ND,668,ND,ND,ND
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,3.92155E+14,12/1/1999,14:20,Environmental,ND,6.5,450,ND,ND,ND,ND,ND,ND
SY-23,MALAKOFF DIGGINGS HILLER TNNL DISCH N BLOOMFIELD,3.92204E+14,12/1/1999,12:20,Environmental,ND,7.4,167,ND,ND,ND,ND,236,100
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,3.92201E+14,12/1/1999,11:00,Environmental,ND,6.3,13,ND,ND,ND,ND,6,92
SY-25,MALAKOFF DIGGINGS LK CITY TNNL DISCH NR N BLMFLD,3.92111E+14,7/7/1999,13:00,Environmental,ND,7.6,136,ND,ND,ND,ND,ND,ND
