Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Delta-18O SO4 (per mil VSMOW),Delta-34S SO4 (per mil CDT),Delta-18O H2O (per mil VSMOW),Delta-D H2O (per mil VSMOW),"Nitrogen, ammonia, filtered (mg/L)","Nigrogen, ammonia plus organic, filtered (mg/L)","Nitrogen, ammonia plus organic, unfiltered (mg/L)","Nitrogen, nitrite plus nitrate, filtered (mg/L)","Nitrogen, nitrite, filtered (mg/L)","Total nitrogen, particulate (mg/L)","Total phosphorus, filtered (mg/L)","Phosphorous, orthophosphate, filtered (mg/)","Total phosphorus, unfiltered (mg/L)","Carbon, inorganic plus organic, particulate (mg/L)","Carbon, organic, filtered (mg/L)","Carbon, organic, particulate (mg/L)","Alkalinity, laboratory (mg/L as CaCO3)",Chloride (mg/L),Sulfate (mg/L)
BR-62,SF GREENHORN C BLW BOSTON MINE NR NEVADA CITY CA,3.91351E+14,2/21/2002,16:00,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,0.12,<.008,ND,E.004,<.02,0.005,ND,1,<.2,ND,0.99,3.5
BR-64,SAILOR FLAT E TRIB A MOUTH TO GREENHORN C,3.91611E+14,2/21/2002,12:00,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.05,<.008,ND,0.005,<.02,0.011,ND,1.7,<.2,ND,1.5,1.7
BR-66,TOM JERRY MINE DR A TUNNEL OUTLET NR NEVADA CITY,3.91627E+14,7/30/2002,17:40,Environmental,7.4,-4.5,-10.3,-71.4,E.04,0.11,0.16,<.05,<.008,ND,E.003,<.02,0.084,ND,0.7,0.5,25,1,12
BR-73,STARR MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.9133E+14,2/21/2002,16:20,Environmental,-1.4,-19.1,-10.1,-68.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,50,0.96,22
BR-74,STARR MINE TUNNEL SW OUTLET NR GRASS VALLEY CA,3.91329E+14,2/21/2002,16:00,Environmental,-3.7,-3.8,-9.7,-67.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.59,28
BR-74,STARR MINE TUNNEL SW OUTLET NR GRASS VALLEY CA,3.91329E+14,2/21/2002,16:01,Laboratory Replicate,-3.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-75,POLAR STAR MINE PIT SUMP NR DUTCH FLAT CA,3.91245E+14,8/3/2000,13:40,Environmental,ND,ND,ND,ND,0.14,1.2,31,0.22,0.105,ND,0.139,<.01,15.5,ND,16.6,>14.3,ND,ND,ND
BR-76,POLAR STAR MINE TUNNEL INLET NR DUTCH FLAT CA,3.91243E+14,5/7/1999,12:00,Environmental,-3.2,-4,-9.7,-68.6,0.04,<.10,E.06,0.07,<.010,ND,<.004,0.02,<.004,ND,ND,ND,21,ND,ND
BR-77,POLAR STAR MINE TUNNEL MIDWAY NR DUTCH FLAT CA,3.91245E+14,5/7/1999,10:30,Environmental,-3.8,-3.6,ND,ND,0.03,E.06,E.07,0.06,<.010,ND,<.004,0.02,<.004,ND,ND,ND,23,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,5/7/1999,9:30,Environmental,-4.4,-4.3,-9.7,-68.2,<.04,E.06,<.10,E.03,<.008,ND,<.004,<.02,<.004,ND,0.7,<.2,23,ND,ND
