Station Map ID,USGS Station Name,USGS Station Number,Date ,Time,Sample Type,Data References,"Total Mercury, Dry (ng/g)",Total Mercury Data Source,"Methylmercury, Dry (ng/g)",Methylmercury Data Source,Loss On Ignition (percent)
DC-08,UNNAMED TRIB TO DEER C A SCOTTS FLAT RES BL CASCI,391728120540101,01/27/2000,12:00,Environmental,NP,"3,390",W1,0.49,W1,5.78
LY-02,YUBA R A TIMBUTOO BEND NR SMARTSVILLE CA,391406121191901,08/07/2002,10:30,Environmental,NP,25.2,W1,0.12,W1,0.56
LY-03,YUBA R A HWY 20 NR SMARTSVILLE CA,391313121191501,08/06/2002,16:45,Environmental,NP,39.7,W1,0.32,W1,1.24
LY-04,YUBA R NR SMARTSVILLE CA,11419600,12/14/2002,12:00,Environmental,NP,94.3,W1,1.06,W1,3.87
LY-05,YUBA R A DAQUERRA PT NR BROWNS VALLEY CA,11420800,12/10/2002,12:45,Environmental,NP,391,W1,6.09,W1,17.5
LY-06,YUBA R NR HAMMONTON CA,391132121284501,08/06/2002,10:30,Environmental,NP,7.4,W1,0.03,W1,0.37
LY-07,YUBA R A HALLWOOD BLVD NR MARYSVILLE CA,391101121303501,08/06/2002,15:30,Environmental,NP,12.9,W1,0.05,W1,0.93
LY-08,YUBA R A MARYSVILLE CA,11421500,08/06/2002,12:30,Environmental,NP,26.4,W1,0.17,W1,0.77
LY-08,YUBA R A MARYSVILLE CA,11421500,12/11/2002,10:00,Environmental,NP,145,W1,2.02,W1,9.08
LY-10,YUBA R A SOUTHERN PACIFIC RR BR A MARYSVILLE CA,390810121345501,08/07/2002,14:00,Environmental,NP,44.6,W1,0.03,W1,0.64
MY-01,M YUBA R 0.6 MI BL MILTON DAM CA,11408550,10/28/2002,12:00,Environmental,NP,13.8,W1,0.27,W1,5.19
MY-02,M YUBA R NR ALLEGHANY CA,11408700,11/01/2002,12:20,Environmental,NP,134,W1,8.06,W1,14.7
MY-03,M YUBA R NR CAMPTONVILLE CA,11408850,11/04/2002,12:50,Environmental,NP,365,W1,7.85,W1,15.3
MY-04,M YUBA R NR NORTH SAN JUAN CA,11410000,10/21/2002,14:00,Environmental,NP,288,W1,1.62,W1,18.6
MY-07,M YUBA R AB COLGATE PH NR FRENCH CORRAL CA,391950121111401,10/25/2002,11:00,Environmental,NP,607,W1,7.65,W1,16.7
SY-01,OMEGA EAST SHAFT (TUNNEL VENT SHAFT) NR WASHINGTON,392022120453301,04/30/1999,13:20,Environmental,NP,0,0,0,0,16.1
SY-02,OMEGA EAST MAINSTEM NR WASHINGTON CA,392020120453901,04/30/1999,13:20,Environmental,NP,0,0,0,0,14.4
SY-03,OMEGA SOUTH TUNNEL NR WASHINGTON CA,392020120453701,04/30/1999,12:30,Environmental,NP,0,0,0,0,11.2
SY-04,OMEGA DR GULCH A SCOTCHMAN C NR WASHINGTON CA,392045120463301,06/08/1999,13:30,Environmental,NP,520,C1,51,W1,24.8
SY-05,SCOTCHMAN C AB OMEGA DR GULCH NR WASHINGTON CA,392042120463401,06/08/1999,14:30,Environmental,NP,73.0,C1,0.86,W1,3.51
SY-06,ALPHA MINE RED TUNNEL NR WASHINGTON,392023120470001,12/16/1999,11:20,Environmental,NP,"7,410",W1,0,0,31.9
SY-08,SCOTCHMAN C A THE FALLS NR WASHINGTON CA,392116120470101,07/29/2002,15:40,Environmental,NP,28.6,W1,1.23,W1,4.23
SY-08,SCOTCHMAN C A THE FALLS NR WASHINGTON CA,392116120470101,07/29/2002,15:40,Environmental,NP,71.0,C1,0,0,0
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,392119120470201,07/29/2002,14:30,Environmental,NP,20.7,W1,0.34,W1,2.25
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,392119120470201,07/29/2002,14:30,Environmental,NP,94.0,C1,0,0,0
SY-11,ALPHA MINE PIT NR WASHINGTON CA,392015120470501,12/16/1999,10:30,Environmental,NP,845,W1,0,0,10.6
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,392007120471001,07/29/2002,11:00,Environmental,NP,52.8,W1,<0.16,W1,3.78
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,392007120471001,07/29/2002,11:00,Environmental,NP,77.0,C1,0,0,0
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,392007120471001,07/29/2002,11:01,Field Replicate,NP,75.0,C1,0,0,0
SY-14,ANCHO ERIE DRAINAGE A TAILINGS DAM NR WASHINGTON,392512120453101,07/31/2002,14:00,Environmental,NP,"15,600",W1,<0.15,W1,4.85
SY-14,ANCHO ERIE DRAINAGE A TAILINGS DAM NR WASHINGTON,392512120453101,07/31/2002,14:00,Environmental,NP,"33,600",C1,0,0,0
